userId,gender,age
0,10043,10045
1,10044,10051
2,10044,10047
3,10044,10049
4,10044,10047
5,10043,10050
6,10044,10048
7,10044,10047
8,10044,10047
9,10043,10048
10,10043,10047
11,10044,10047
12,10044,10049
13,10044,10048
14,10044,10047
15,10043,10048
16,10044,10050
17,10043,10046
18,10044,10045
19,10044,10047
20,10044,10046
21,10044,10046
22,10044,10048
23,10043,10047
24,10044,10046
25,10044,10047
26,10044,10047
27,10043,10047
28,10044,10048
29,10043,10048
30,10044,10051
31,10043,10047
32,10044,10049
33,10043,10046
34,10044,10049
35,10044,10047
36,10043,10047
37,10043,10046
38,10044,10046
39,10044,10049
40,10043,10046
41,10044,10047
42,10044,10047
43,10044,10049
44,10043,10049
45,10044,10046
46,10044,10046
47,10044,10047
48,10044,10046
49,10043,10047
50,10043,10045
51,10044,10046
52,10044,10047
53,10044,10050
54,10043,10048
55,10044,10048
56,10044,10046
57,10044,10047
58,10043,10050
59,10044,10050
60,10044,10047
61,10043,10048
62,10044,10046
63,10044,10046
64,10044,10048
65,10044,10047
66,10043,10050
67,10044,10046
68,10043,10047
69,10044,10046
70,10044,10047
71,10043,10049
72,10044,10046
73,10044,10048
74,10043,10045
75,10044,10048
76,10044,10046
77,10043,10049
78,10043,10049
79,10044,10051
80,10043,10047
81,10044,10047
82,10043,10047
83,10044,10046
84,10044,10046
85,10043,10045
86,10044,10047
87,10043,10049
88,10043,10051
89,10044,10051
90,10044,10048
91,10043,10046
92,10044,10047
93,10044,10047
94,10044,10049
95,10043,10047
96,10043,10048
97,10043,10048
98,10043,10045
99,10044,10048
100,10043,10046
101,10044,10048
102,10044,10049
103,10044,10047
104,10044,10049
105,10043,10048
106,10044,10049
107,10044,10047
108,10044,10049
109,10044,10047
110,10044,10048
111,10044,10047
112,10044,10046
113,10043,10047
114,10044,10047
115,10044,10047
116,10044,10047
117,10044,10048
118,10043,10045
119,10044,10047
120,10044,10048
121,10043,10046
122,10044,10048
123,10044,10051
124,10044,10049
125,10044,10046
126,10043,10049
127,10044,10051
128,10044,10047
129,10044,10048
130,10044,10046
131,10044,10047
132,10043,10047
133,10044,10047
134,10044,10046
135,10044,10046
136,10043,10049
137,10044,10046
138,10043,10047
139,10043,10048
140,10044,10048
141,10044,10047
142,10044,10046
143,10044,10047
144,10044,10046
145,10043,10048
146,10044,10046
147,10044,10050
148,10044,10047
149,10044,10048
150,10043,10047
151,10044,10046
152,10044,10045
153,10044,10050
154,10044,10048
155,10043,10049
156,10044,10048
157,10044,10051
158,10043,10049
159,10044,10048
160,10044,10049
161,10043,10046
162,10044,10046
163,10043,10051
164,10044,10046
165,10044,10046
166,10043,10047
167,10043,10050
168,10044,10047
169,10044,10047
170,10043,10050
171,10044,10047
172,10044,10047
173,10044,10047
174,10043,10047
175,10043,10046
176,10044,10050
177,10044,10051
178,10044,10047
179,10044,10049
180,10044,10046
181,10044,10046
182,10043,10049
183,10043,10047
184,10044,10049
185,10044,10046
186,10043,10049
187,10044,10051
188,10044,10046
189,10044,10047
190,10044,10046
191,10044,10046
192,10043,10049
193,10043,10045
194,10044,10047
195,10043,10048
196,10044,10046
197,10044,10047
198,10044,10046
199,10043,10046
200,10043,10048
201,10044,10046
202,10043,10046
203,10044,10047
204,10044,10048
205,10044,10047
206,10044,10047
207,10044,10048
208,10044,10048
209,10043,10045
210,10044,10049
211,10044,10047
212,10043,10046
213,10044,10046
214,10044,10048
215,10044,10049
216,10044,10046
217,10044,10048
218,10043,10047
219,10044,10047
220,10043,10047
221,10044,10047
222,10044,10047
223,10043,10046
224,10044,10047
225,10044,10048
226,10044,10048
227,10044,10047
228,10044,10046
229,10044,10049
230,10044,10047
231,10044,10047
232,10043,10049
233,10044,10048
234,10044,10047
235,10044,10047
236,10044,10047
237,10043,10050
238,10044,10046
239,10044,10050
240,10044,10048
241,10043,10046
242,10044,10047
243,10044,10050
244,10044,10048
245,10043,10046
246,10044,10047
247,10044,10046
248,10043,10046
249,10044,10048
250,10044,10051
251,10044,10047
252,10043,10047
253,10044,10048
254,10044,10048
255,10044,10049
256,10044,10046
257,10044,10047
258,10044,10047
259,10044,10046
260,10044,10047
261,10043,10047
262,10043,10047
263,10044,10048
264,10043,10048
265,10044,10048
266,10044,10049
267,10043,10046
268,10044,10047
269,10044,10050
270,10044,10046
271,10044,10046
272,10044,10046
273,10044,10046
274,10044,10047
275,10044,10049
276,10043,10048
277,10044,10049
278,10044,10047
279,10044,10050
280,10043,10048
281,10044,10047
282,10044,10047
283,10044,10047
284,10043,10048
285,10044,10047
286,10044,10050
287,10043,10047
288,10043,10047
289,10043,10047
290,10044,10048
291,10044,10048
292,10044,10051
293,10043,10049
294,10044,10046
295,10044,10050
296,10044,10046
297,10043,10046
298,10044,10047
299,10044,10047
300,10044,10046
301,10044,10046
302,10044,10047
303,10044,10047
304,10043,10046
305,10044,10046
306,10044,10050
307,10044,10047
308,10044,10047
309,10043,10046
310,10044,10046
311,10043,10050
312,10043,10046
313,10043,10051
314,10043,10051
315,10044,10051
316,10044,10048
317,10043,10051
318,10043,10050
319,10044,10048
320,10044,10046
321,10044,10051
322,10044,10049
323,10044,10048
324,10043,10050
325,10044,10050
326,10044,10048
327,10044,10048
328,10044,10048
329,10044,10051
330,10044,10047
331,10044,10050
332,10044,10048
333,10043,10051
334,10044,10048
335,10044,10046
336,10044,10046
337,10044,10048
338,10044,10050
339,10043,10047
340,10043,10051
341,10044,10046
342,10043,10048
343,10044,10048
344,10044,10047
345,10043,10047
346,10043,10051
347,10044,10050
348,10044,10045
349,10044,10049
350,10044,10046
351,10044,10046
352,10043,10048
353,10044,10048
354,10044,10046
355,10044,10051
356,10044,10046
357,10043,10051
358,10044,10047
359,10044,10048
360,10043,10047
361,10044,10048
362,10044,10046
363,10043,10048
364,10043,10046
365,10044,10050
366,10044,10050
367,10044,10047
368,10044,10048
369,10044,10046
370,10044,10046
371,10043,10046
372,10043,10047
373,10043,10048
374,10044,10047
375,10044,10048
376,10044,10047
377,10043,10046
378,10043,10048
379,10044,10047
380,10044,10048
381,10043,10048
382,10043,10047
383,10044,10047
384,10044,10047
385,10044,10047
386,10043,10048
387,10043,10047
388,10044,10047
389,10044,10047
390,10044,10049
391,10044,10046
392,10044,10048
393,10044,10046
394,10044,10046
395,10044,10047
396,10044,10048
397,10044,10047
398,10043,10048
399,10043,10046
400,10044,10046
401,10044,10047
402,10044,10046
403,10044,10046
404,10044,10051
405,10044,10047
406,10044,10046
407,10044,10047
408,10044,10046
409,10043,10047
410,10043,10049
411,10044,10048
412,10044,10047
413,10044,10047
414,10043,10048
415,10044,10049
416,10043,10047
417,10043,10047
418,10044,10046
419,10044,10048
420,10043,10049
421,10044,10051
422,10044,10046
423,10044,10047
424,10044,10047
425,10044,10046
426,10044,10048
427,10043,10046
428,10044,10046
429,10043,10046
430,10044,10046
431,10044,10049
432,10044,10050
433,10043,10049
434,10044,10047
435,10044,10046
436,10044,10048
437,10044,10046
438,10044,10048
439,10044,10051
440,10044,10048
441,10044,10047
442,10044,10047
443,10044,10051
444,10044,10049
445,10043,10050
446,10043,10049
447,10044,10047
448,10044,10047
449,10044,10049
450,10044,10051
451,10044,10050
452,10044,10046
453,10044,10047
454,10043,10048
455,10044,10048
456,10044,10046
457,10044,10050
458,10043,10046
459,10044,10049
460,10044,10050
461,10044,10046
462,10044,10047
463,10043,10046
464,10044,10046
465,10044,10047
466,10043,10048
467,10043,10045
468,10044,10048
469,10043,10045
470,10044,10048
471,10044,10048
472,10043,10046
473,10044,10047
474,10043,10047
475,10044,10048
476,10044,10048
477,10044,10050
478,10044,10047
479,10043,10046
480,10044,10049
481,10044,10047
482,10044,10046
483,10043,10045
484,10044,10051
485,10044,10051
486,10043,10048
487,10044,10047
488,10044,10046
489,10044,10045
490,10044,10046
491,10044,10047
492,10044,10050
493,10043,10048
494,10044,10046
495,10044,10046
496,10043,10047
497,10044,10048
498,10043,10047
499,10043,10046
500,10044,10047
501,10044,10048
502,10044,10048
503,10044,10047
504,10044,10048
505,10044,10047
506,10043,10047
507,10044,10047
508,10044,10047
509,10044,10046
510,10043,10049
511,10044,10048
512,10044,10047
513,10044,10047
514,10044,10047
515,10043,10051
516,10043,10047
517,10043,10048
518,10043,10048
519,10043,10048
520,10044,10051
521,10044,10047
522,10044,10050
523,10044,10046
524,10044,10048
525,10044,10049
526,10043,10047
527,10043,10046
528,10044,10048
529,10044,10047
530,10043,10046
531,10044,10047
532,10044,10047
533,10044,10047
534,10044,10048
535,10044,10047
536,10044,10049
537,10044,10051
538,10044,10047
539,10044,10046
540,10043,10046
541,10044,10046
542,10044,10047
543,10044,10048
544,10044,10048
545,10043,10047
546,10044,10048
547,10043,10048
548,10044,10047
549,10044,10049
550,10044,10048
551,10044,10050
552,10044,10047
